           91.929409 -2.943307 -9.337002 -0.028609
           92.029005 -2.966291 -9.357839 -0.018941
           92.129202 -2.983967 -9.421977 -0.030328
           92.229446 -2.984484 -9.443612 -0.039563
           92.329407 -3.001065 -9.469574 -0.017727
           92.429249 -3.022784 -9.496492 -0.024881
           92.529639 -3.032614 -9.532374 -0.017488
           92.629402 -3.042423 -9.542938 -0.014710
           92.724328 -3.070089 -9.577048 -0.019325
           92.824680 -3.100112 -9.608494 -0.037022
           92.929494 -3.134577 -9.646959 -0.069877
           93.029322 -3.171979 -9.692096 -0.069269
           93.124409 -3.204171 -9.756353 -0.077195
           93.224607 -3.231446 -9.828402 -0.077489
           93.323908 -3.237785 -9.876075 -0.084624
           93.424443 -3.254168 -9.922547 -0.087285
           93.524263 -3.274386 -9.979313 -0.082764
           93.624254  -3.282078 -10.025860  -0.062826
           93.724068  -3.315399 -10.063594  -0.050454
           93.824173  -3.331697 -10.105923  -0.062108
           93.929338  -3.359346 -10.161140  -0.078585
           94.024338  -3.371688 -10.190815  -0.076579
           94.124210  -3.389440 -10.218333  -0.083927
           94.224238  -3.396062 -10.248135  -0.090413
           94.324095  -3.409989 -10.271661  -0.088494
           94.424265  -3.430889 -10.303011  -0.069173
           94.524750  -3.452486 -10.343505  -0.079171
           94.624796  -3.480702 -10.391448  -0.096470
           94.724258  -3.492891 -10.429569  -0.118225
           94.823999  -3.504131 -10.473123  -0.133861
           94.924198  -3.527870 -10.510595  -0.144726
           95.029174  -3.548211 -10.557888  -0.124079
           95.124225  -3.572429 -10.594854  -0.107438
           95.224183  -3.598766 -10.635885  -0.099690
           95.324941  -3.642571 -10.695858  -0.085342
           95.424372  -3.675110 -10.750125  -0.065672
           95.524197  -3.688987 -10.791829  -0.078355
           95.624284  -3.708216 -10.818115  -0.082079
           95.724798  -3.731519 -10.849576  -0.093816
           95.824389  -3.755387 -10.872888  -0.093208
           95.924145  -3.776398 -10.894108  -0.089305
           96.029112  -3.815782 -10.941970  -0.089495
           96.124270  -3.842786 -10.988332  -0.080713
           96.224277  -3.866976 -11.047482  -0.095716
           96.324446  -3.888504 -11.073443  -0.113959
           96.424096  -3.930931 -11.112558  -0.125137
           96.524099  -3.943456 -11.157614  -0.133023
           96.624259  -3.971716 -11.198917  -0.124624
           96.724731  -3.990132 -11.238905  -0.131672
           96.824458  -4.024492 -11.300415  -0.116862
           96.924657  -4.044283 -11.342306  -0.123451
           97.029070  -4.070551 -11.378647  -0.135430
           97.124087  -4.088706 -11.406239  -0.140085
           97.224571  -4.109197 -11.443623  -0.131612
           97.324414  -4.137528 -11.479813  -0.127266
           97.424115  -4.153598 -11.514087  -0.134009
           97.524363  -4.192632 -11.548642  -0.148406
           97.624211  -4.228136 -11.569394  -0.152181
           97.724169  -4.260009 -11.600201  -0.143550
           97.824245  -4.294130 -11.632953  -0.141782
           97.924305  -4.326095 -11.670964  -0.134989
           98.024183  -4.345999 -11.734824  -0.128326
           98.124116  -4.365057 -11.786369  -0.132024
           98.224201  -4.377719 -11.833673  -0.144742
           98.324479  -4.397947 -11.881626  -0.145476
           98.424088  -4.426549 -11.921187  -0.143774
           98.523950  -4.437665 -11.945857  -0.150984
           98.624378  -4.460784 -11.972683  -0.141053
           98.724202  -4.493004 -11.998198  -0.128463
           98.824319  -4.514105 -12.027142  -0.126671
           98.924167  -4.542927 -12.055387  -0.120680
           99.024213  -4.573041 -12.093815  -0.110033
           99.124174  -4.580655 -12.127346  -0.139837
           99.224157  -4.585253 -12.147643  -0.133617
           99.324201  -4.589567 -12.199704  -0.133748
           99.424184  -4.588299 -12.225544  -0.117454
           99.524210  -4.599188 -12.259213  -0.113517
           99.624293  -4.591340 -12.262322  -0.118504
           99.719450  -4.650666 -12.331385  -0.109758
           99.824471  -4.691281 -12.378190  -0.102698
           99.924248  -4.734551 -12.439716  -0.099684
          100.024210  -4.761361 -12.491041  -0.106712
          100.119373  -4.790930 -12.534322  -0.106250
          100.219499  -4.818210 -12.579719  -0.115166
          100.319298  -4.839182 -12.616650  -0.122160
          100.419403  -4.864178 -12.663990  -0.150180
          100.519158  -4.889648 -12.704474  -0.123765
          100.619240  -4.895853 -12.746417  -0.113747
          100.719350  -4.904638 -12.776525  -0.119984
          100.819332  -4.923988 -12.783863  -0.119933
          100.924555  -4.943332 -12.813783  -0.109012
          101.024328  -4.970192 -12.850658  -0.113562
          101.124267  -4.995561 -12.894344  -0.118330
          101.224334  -5.021603 -12.943103  -0.090501
          101.324411  -5.033055 -12.984453  -0.099937
          101.424559  -5.049846 -13.031128  -0.106025
          101.524362  -5.080018 -13.072120  -0.104192
          101.629590  -5.102906 -13.106049  -0.092409
          101.729255  -5.132465 -13.141275  -0.091242
          101.829343  -5.170417 -13.174297  -0.092078
          101.929232  -5.203373 -13.220021  -0.064611
          102.034103  -5.223920 -13.268474  -0.072532
          102.134362  -5.239812 -13.305840  -0.074677
          102.234381  -5.260020 -13.349562  -0.099456
          102.334492  -5.289462 -13.396478  -0.113238
          102.434743  -5.327029 -13.437618  -0.115166
          102.534114  -5.354566 -13.482436  -0.124492
          102.634161  -5.383171 -13.533582  -0.152517
          102.734381  -5.388391 -13.576286  -0.144620
          102.839475  -5.390602 -13.604356  -0.131698
          102.939365  -5.406635 -13.637778  -0.119757
          103.039424  -5.432291 -13.660151  -0.108470
          103.139309  -5.458444 -13.688537  -0.090744
          103.239544  -5.481420 -13.720414  -0.091376
          103.339052  -5.519215 -13.762282  -0.110822
          103.444185  -5.547353 -13.783824  -0.118237
          103.544186  -5.556163 -13.831136  -0.118050
          103.644156  -5.575695 -13.842902  -0.143261
          103.744391  -5.599219 -13.887681  -0.134803
          103.844420  -5.645819 -13.924889  -0.135519
          103.949225  -5.693279 -13.961692  -0.150626
          104.049234  -5.734150 -13.996444  -0.147656
          104.149208  -5.768367 -14.042928  -0.131373
          104.249219  -5.799942 -14.084015  -0.142061
          104.349171  -5.814176 -14.145740  -0.145233
          104.449371  -5.822132 -14.196281  -0.121032
          104.549269  -5.849215 -14.258264  -0.106585
          104.654293  -5.870551 -14.296554  -0.104453
          104.754323  -5.893622 -14.355320  -0.112816
          104.854459  -5.908644 -14.398966  -0.108113
          104.954454  -5.917914 -14.410752  -0.109751
          105.054379  -5.931215 -14.443574  -0.102523
          105.154404  -5.948025 -14.464026  -0.101560
          105.254339  -5.989048 -14.498471  -0.103890
          105.354362  -6.029864 -14.529127  -0.111358
